"","text"
"911","wow big green apple  nose drink straight scotchy  sure  japanese balance made light  smooth sweet  bitter grass   lightest  smoke   finishes like wine imo "
"912","costco    bottles   picked one   enjoyable blend   first sip  wasnt sold   letting  get  air  really grew    easy  drink  carries  excellent range  flavors      happy   purchase "
"913","pay  attention   negative comments    left   japanese whiskey jw  scotch yes similar   scotch  think  negative reviewers   preconceived expectation    met  tried  without knowing   expecti think   better  way anyway give   try    getting  jw  wont  disappointed   im  glad  chose  one   first opened    slight smokiness  faded  getting  oxygen    pleasantly smooth character   enough flavor  complexity  make  enjoyable     staple   spirits cabinet  years  come ive also let several different whiskey drinkers including   seasoned bourbon guys try     agreed    good  worth trying im looking forward  trying   nikka offerings sooner  later  "
"914","exceptionally smooth one   smoothest whiskeys ive    seen  special  japanese whiskeys recently  felt  urge  pick one    little reading  feel lucky   chosen  nikka taketsuru   reviewers   beaten    lack  smokiness wrong scotch     heavy   feel     easy wellbalanced scotch     keep    shelf "
"915"," exceptional blend  drinkable  affordable  nose  bees wax raisins   light vanilla charcoal smoke   back opens  warm spiced citrus   short smokey pepper finish"
"916"," nice japanese whiskey enough complexity  still pretty smooth"
"917","  smooth  nice  heavy taste even  ice cubes    recommend "
"918"," looked forward  trying      reviews id read  ultimately thought  neither stood   offered anything unique  compared   variety   whiskeys   similar price point flavor  fine  underdeveloped simply put  unmemorable   current  price point    number  far  enjoyable options  buy"
"919"," nice pepper  sweet beautiful colour "
"920","   great whiskey   well put together   flavors  complex "
"921","  nice whisky  classic example  japanese craftsmanship  scottish origins  evident   capable  standing alongside many  scotch    touch  smoke  sweet   bit o fruit vanilla   touch  nuts   well balanced    keep    cabinet  part   collection makes   nice reasonably priced daily drinker  doubt   ever tire   "
"922","although   expert  find  whisky one   best tasting experiences  ever  true    description   would definitely suggest "
"923","   jw black  double  price   cant say ive tasted  sidebyside  ive  jw black  jw blue      jw blue   even jw blue   okay   havent tried     jw expressions  seriously theres  need    thing  right   black level  double  price"
"924","seems pretty close   yamazaki    although  fruit   palate  bad   agree drinking  much could lead   heart burn  whiskey  enjoy  glass per session"
"925","  really rough  decided  buy  bottle  line    previous age statements   blind tasting well  wasnt blind  long immediately   nose  could tell   spirits   years old   glassmy biggest gripe    tastes nothing like  previous taketsuru bottlings    smokiness   reminds     american rye  something  belongs along side quality scotch  aged  extremely balanced  one    time favorites  nas leaves  feeling  spent way  much  young inexperienced whisky theres nothing wrong  young american rye   favorite  theres nothing wrong      bottle  spirit   different name normally  steer clear  nas  dont buy   reasoning except  theyre trying  hide young whisky   supplies    like theyre heavily discounted versus aged versions  still want   amount  cash  many cases  made  exception     love  taketsuru   dwindling th   last bottle remaining supplyoh welloh    comment   price  japan thats     almost  japanese whisky   go  japan   buy    fantastic price  outside japan  pay  markup  leads   avoid  japanese whisky  good   international markup drives  outside   respectable price point  think  hibiki   something like      last  couple years ago"
"926","  one  nothing  compare   likely  good whiskey    course   night  tasting     status quouninspiringalbeit solid  overpowering   aroma spicy  flat lines one taster said    white paint  whiskey  depth   flavour another taster gets  acid reflux sensation   might consider  long finish"
"927","en väldigt djup mörk och mastig doft av frukt samt lite lätt sherry som övergår till citron mot slutet om jag inte visste hur mycket alkohol det var  denna så skulle jag gissat på cask strength på grund av de djupa dofterna smaken är främst fruktig och maltig men man tycks hitta en gnutta havssalt samt sherry också man känner att den inte är lika stark som den tycks lukta tyvärr något spritigdoften är så speciell att jag skulle vilja ge  genom att bara lukta på den men efter att ha smakat den är jag något besviken hur som helst efter att ha haft ett par droppar vatten  den så är det en ganska god whisky  alla fall som får ett helhetsbetyg på  med tanke på det något för höga priset"
"928"," price  europe seems   way  seems like someone  taking  big cut "
"929","spot    tasting notes    rather splendid   drinkable dram   impressed   blended malt  highly recommend "
"930"," tried    whiskey bar  bethlehem pa   weekend    spectacular   bought  bottle immediately   following monday   primarily  islay man  uigeadail   lagavulin    mainstays   island    fan  glenmorangie  really enjoy  expressions  lasanta  quinta rubin   triedthat said    never really found  blended malt   truly enjoyed  nowthe taketsuru    class     comes  blends   holds    almost   single malts   triedand   say    tasting notes       accurate   seen   honestly say everything mention comes across  nose   palateput   regular rotation      disappointed"
"931","  drove   local nikka factory near sendai japan  factory closes   pm   got    pm  taketsuru   sale    yen     get  bottle quickly   register     shop believe    one   best last minute deals   ever landed"
"932"," enjoy  range  scotches  sweet  citrusy  pungent  peaty  said  relatively inexpensive  delicate   floral whisky   far  favourite    including quite     times  cost   excluding   japanese products  appreciate  subtlety  complexity  many layers   long finish  superb product  cant recommend  enough     bottles   scotch cabinet  one  always    front "
"933","one   best whisky ive tried"
"934","smooth delicious   little bit smoky tail mmmm  good beginning taste reminds   yamazaki   end  different   prefer   buy yamazaki  "
"935","  agree    comments   page mom  nailed  tasting notes   certainly got  honeyd cereals  apple tones   nose      steadily developed  dark chocolate  coffee beans   smoke rises  fills  mouth like vapour wow  wowi  becoming    megafan  japanese whisky   day nikka  suntory  producing  spellbinding malts     one   japanese expressions   leading  charge"
"936","ive   fan  master  malts  many years   description   particular malt could    accurate  thank   everything     work doesnt go unappreciated  sincerely canada  "
"937"," discovered  rare subtle warrior whiskey   top shelf   local diner  oakland ca   quiet early sunday morning  late august      birthday    launching   third day   weekend worth  celebrations   spied  bottle  brown liquor  japanese characters   label  next   macallan  yr old   listening   john rain novel   headset   chose  japanese spirit omg    glad   macallan   yeah  like   friends  dont even like whiskey love  gem  im going  order  case cause   like oakland used    best kept secret   bay area  word   im  even going  describe  awesome  spirit tastes  ill  add   noise   bandwagon  gonna get  case  try   consume  entire dozen   next birthday  late august  "
"938","wow     scotch purist    part  love  year old balvenie sherry cask matured  well  glenmorangie quinta ruban  balvenie  port wood     admit   tucked tail     amazing bottle  nice soft bite   almost  ripe pear blast  flavor    followed   wonderful fall  figs  barely ripe bing cherries  must   olorosso sherry casks involved   could  wrong     taste  get  dont look   beautifull  misspelled beautiful   deserves   one love spirit   cant call   scotch   think    less   spirit   gods doesnt give   due"
"939"," tastes  deep  almost like  cask strength love itthe taste isnt really   expected though   may need   drips  water  "
"940","today  tasted    damn good  silken smooth   heavenly taste   fan  japanese pure malt    trying  jap single malts"
"941","  got  bottle today     say   really good whiskey     nice kick    aside   real smooth  almost reminds    mix   whiskey   japanese plum wine     fan  japanese whiskey    least try  one    good    way"
"942","smoky flavor  image   old man appearsstrong flavor  like usual blended whiskey  outstandingvery close  single malt"
"943","outstanding"
"944","outstanding whiskythis   bottle  choicenothing else comes close"
"945","  doubters  japanese whiskyi dare   try  bottle    write  bad review    go  blend     several years  simply cannot find  better dram   price soft smoky fruity sweet   crave  long distinguished finish beautiful "
"946"," quite   bottle   delicious whisky cant recommend  enough  keep finding  coming back   one  smooth complex   long finish definitely  favorite scotch   range  price"
"947","  bought  bottle   surprisingly complex  outstanding japanese whisky  read   quality  japanese whisky    surprised  smooth  complex  whisky   plan  buy  case tomorrow enjoy"
"948"," could say lots  great things   whisky trust  get     buy        coming   scotch enthusiast japanese craftsmanship   best   everyday dram"
"949","  one   japanese cant make great whisky guy boy   wrong  thing  young  smooth     time   amazing complexity   finale  seems  linger forever   crave  simply amazing     get  hands   miyagikyo"
"950","   fan  hakushu whiskies    totally  non age statements  bought   mistake thinking     year old nikka taketsuru  labeled   shelf  decided  give   try since   already bought   must say   pleasantly surprised   smooth  full bodied  tasted  taste like  toned  hakushu    glad      bottles  enjoy "
"951","   bartender  trading tried   different scotches whiskies  one blows   away   complete taste full body smooth  enjoyable  drink  pick   case    probably need  order    go fast dont hold back   one folks enjoy  japanese styles"
"952","uber smooth  cross   single malt   bourbon notes  chocolate caramel  espresso seems like  issue   nikka nas single malts  replaced  age statements   many people loved  age statements    compared  yr olds  nas  blind tastings seeing  many people like  coffey malt coffey grain  nikka   barrel "
"953"," fantastic late evening whisky one   favourites "
"954","male molto maledeludentedolciastroricorda il bourbonmolto ma molto caro per quello che vale"
"955","one   smoothestwonderfully creamy across  palate"
"956","wonderfully smooth  new favorite"
"957","hard  find   worth  effort "
"958"," absolutely love  whisky everytime  pour  dram   new emotion seriously   great"
"959"," friend brought    christmas dinner   fell  love   little sweet     bad way  great smooth flavor"
"960"," stuff isnt horrible   isnt   would call great"
"961"," reminds    coffee liqueur  made  date lovelier   tastes far  refined  usually go  islay single malt   one moved    different direction  destination   ultimate destination stays   helen merrill  clifford brown  fabulous whiskey  fabulous night  music "
"962"," biggest problem   whisky  running    fabulous stuff"
"963"," unpleasant   particularly exciting  stand  flavours enyoyed  glass  tried would drink      going bit wouldnt pay    much taste  raw alcohol aswelmeh"
"964"," complexity  flavor  much taste  alcool nothing stay  mouth  disapointed   price  costs  advise   nikka black much much better  favorit one"
"965","  well rounded whisky  notes  raisins apricot vanilla  toffee yet without  lingering taste  honey  extremely smooth   oily viscous texture  coats  mouth  hard  come    region  certainly worth  wait"
"966"," smokeiness  okay   overall flavor  way  barf also burping afterwards   worse part"
"967"," tasted  tonight   first time   first taste  sweet honeylike     cloying  notes  vanilla toffee flavors   sipped  neat  enjoyed  totally       bite   bourbon rather  smooth finish  like  sweet scotch    drink  regularly  pleasure"
"968","first       single malt  reminds  bourbonas four roses single barrel     subtle sweet vanilla cornas     ok  drink   meal meat   digestivealex"
"969","  drinking  strait   bit   flavor started  fall   started adding  cube  ice  cool    add  water   flavor opened     subtle flavors came   recommend    introduction  japanese whiskeys  would definitely get  one "
"970","really surprised   taste strong toffee flavor smooth slightly viscous  "
"971","mmmmmmmmmmmm"
"972","ive  nikka     different guises   barrel coffey etc   really   hugely enjoyable experience lovely finish would definitely recommend "
"973","leave    japanese  take something   perfect  make  better"
"974"," nice"
"975","something  want  soft rich  sophisticated"
"976","absolutely unique taste  highly recommended"
"977","lets see"
"978","absolute perfect   palate"
"979","finished  wonderful meal asparagus chateaubriand steak   local gastropub   whisky   coffee  ive  suntory whiskies   never  nikka   smooth wellflavoured complex   palate  id recommend   agree  reminded   penderyn   good way"
"980","simple bit smokey bit dark chocolate coffee  mixed    wonderful taste definitely top quality   pricing level"
"981","   wonderful whisky fruitpeat spice  hints  coffee  dark chocolate open   swallowed oily  coats  tongue  feel like  vip   drink  stuff damn  japs   top quality"
"982"," love  one seems   simple   first sip  open   every next  complex   positively  name   tastes  smells   feel  blame  lack  proper tasting training  short amazing   blend  rather  perfect example  blends   great     "
"983","delicious interesting  smooth theres interesting tastes  bertie basset based treats  little saline well done nikka "
"984","outstandinghave  watch  tongue smile   first sipkeep   mouth   good  seconds  swallowit  slowly jab  taste budslove  steve mcgiff cornwall"
"985","received  bottle   gift   nice surprise unknown    whisky  thinner   malts  usually drink     wonderful flavour   strong kick  much like penderyn whiskey"
"986","like someone  matured  spirit  sticking plasters"
"987","  drinking  right nowthe nose  truly beautifulbags  glamouri  cannot stop sniffing itthe taste  immaculatetue obsession  japanese whiskey   full flowevery whiskey   purchased  japan  unique  carries bags  intelligencerecommend  thoroughly"
"988","  like  well balanced   obvious elements  smoke peat fruit wood  sweet  working together perfectly     beast   could sniff   day  sip   night     addictive nose yes   go   cupboard  pull  cork sniff  put  cork back  many times   one beautiful taste  great long fade finishi dont know  else   asked    whiskywell cl instead  cl maybe"
"989"," really   wonderfully balanced blend well worth  purchase  fantastic flavours   pleasure  drink"
"990","full bodied pleasant oak rich fruity apple  cream vanilla  caramel   touch  peat  gives   saltysavory flavor  flavor profile  quite similar  highland park   richer  flavor  taste amazing   blended whisky    rich  flavorful   single malt scotch easily blows away  blended scotch   years old  even way better  dewars    watery spirity  lacks flavor  complexity    less   yen  absolutely worth    price  bad  whisky  overpriced outside  japan"
"991","  well rounded blend smooth tasty   drinkable would  buy     definitely worth  "
"992","really       dont drink blended whisky occasional exception   chivas regal  yr old oscar great guy runs  favourite liquor store insists  sharing  enthusiasm even    twisted  arm   free sample bought  bottle straight  theres  big dash  yoichi       nice warming hint  peat   much peat   blots   delightful tropical fruit though toasty oaky warm  creamy butterscotch toffee  smooooooooooth honestly   didnt know youd never guess    blended whisky    new permanent fixture   collection"
"993","big japanese whisky fan   fits  mound tinges  apple   nose  forgetting  pomp  tastes amazing great stuff shall  getting  bottle"
"994","beautiful  floral citrusy  woody gentle yet serious "
"995","   incredible gin  smell   sip   ice  nothing else citrusy  little different simply divine"
"996","  poured  first glass  nose  like  typical highland whiskey  bit  peat  also  strong    lot  single malt statement first sips    sure   drinking   nonspeyside highlander  balance   whiskey  one   finest among blends  usual japanese   bring everything   new level  bit pricey   happily forgot     first three sips   reason   mixed reviews  various forums  websites    giving   stars amazing blend"
"997"," didnt expect much  grab    last minute   warsaw duty free shop  found     good blended whisky balance elegant  full  flavours "
"998","perhaps  best value  blended whiskies   market   smooth   sweet  alcohol whiff havent tasted  blended  nice since  old ballantines    half  price"
"999","try    little ice  really opens   flavour beautiful whisky  every sense   word"
"1000","perhaps  best value blend     moment   great replacement   ballantines    offers poor value since  reduction   missing  subtle smoke   ballantines  makes      ways deliciously sweet clean  moreish shows  nikkas complete command  blending far better  suntorys entry level distillers reserve products especially  overpriced hibiki harmony  nearly  good  nikkas  coffey grainmalt  rds  price "
"1001"," wrote   star review right  opening     say oxidization  really helped  whisky tastes like  green label  smells much better like honey cakecustard"
"1002"," smooth   palate  seriously lacks depth like  green label  less depth   sweet   harsh feels diluted nose  initially fairly boring    begins  smell like custard"
"1003"," flavour   subtle    time  smells like milk"
"1004","nikka blended extreme value  money smooth  notes  chocolate  coffee"
"1005"," outstanding "
"1006","balanced  elegant"
"1007","bought   vienna airport intersting shop  could taste  youre buying   intersting"
"1008","   didnt expect  great blended whisky wrong    good blended whisky elegant full  flavour "
"1009"," daughter bought   bottle  christmas  sublime"
"1010"," good entry  japanese whisky smooth smoky   sweet finish pairs good   mild flavoured cigar  smoky start   smoke   cigar cancel      bring   notes    life"
"1011","im finding  difficult  find  better blended whiskey    malt tis  worthy whiskey    price  packs  wallop  taste easy   taste buds  smooth  "
"1012","amazing whiskey massive flavour  punch   beauty"
"1013"," clear decrease  quality compared  earlier bottles ive    years ago  young spirity burnt   nose  taste  perhaps  little bit better  way behind  malt whiskys   price range   buy  "
"1014","   always    fan  islay malts   chance upon  bottle   took upon   understand  fuss  japanese blends  blew  mind away"
"1015","fabulous whiskey value  money "
"1016"," youre look   entry  japanese whisky   nikka blended whisky  excellent value entry points   affordable  worth every penny   last drop start  journey   two  im confident  palette   appetising     japan   offer  know  stuff offer something unique refined   want  "
"1017","fabulous whiskey manoj ramchandani "
"1018","  good japanese malt smooth  well roundedlight hint  smoke  well need  drops  water  open upreally worth   price  enjoyed alot"
"1019","unbelievable   price levellovely aroma  tastecomplex    morishlovely"
"1020","   price wow"
"1021"," good"
"1022","takes  blend whiskes   higher level smooth   tasty   put feeling      resultvery  good japani thought  imossible  rate  blend higher    "
"1023","tastes like  age cheap blended"
"1024"," lovely surprise im  recent convert  japanese single malts   blend  really quite special smooth light  complex   many tastes cross  palate  nuts light fruit wood   wonderful almost lotus flower fragrance tastes bring  mind  japanese tea garden   rain   price   impossible   buy  try"
"1025","  well presented malt blend   great price   effect  unique coffey still malt distillation process   unclear   end result    wellrounded dram  plenty  complexity  good flavour  would love  taste    abv   cant  everything   "
"1026","   absolute bargain     well rounded sweet smooth  tasty little number  easy  drink    price   easily  overlooked dont hesitate  buy     easy  drink  enjoyable"
"1027","yep  forgot  click  stars review "
"1028"," seriously   buys whiskey   looks  itat nearly  cheaper  hibiki  yamazaki yo    serious serious whiskey   time contender   nearly didnt buy     bottle  assuming  would  nowhere near  nice   two  japanese whiskeys named   cellar man assured   needed   tried  sample    another   good measure  decision made really really close    nice    japanese whiskeys   whiskey awards approx   bottle range  winners   green spot  balvenie jason breen"
"1029","  usual bourbony sweetness   banana  yeah  brown sugar  cinnamon   nose  luxurious  full   abv would lead one  expectin  mouth   malt cuts loose brown sugar cactus nectar cacao barley  course cashews  last   least sherrycactus nectar cask wood dark chocolate  maple tree sap  syrup   told  dram  float  boat   sea worthy"
"1030"," good balanced palate spicy enough  long smooth  dry finish easy  drink   good drum   much  value  money alternatives though "
"1031"," truly unique whiskey tastes absolutely beautiful  complex flavour long lasting   mouth  rounded completely magnificent   drink    hurried    fully enjoyed  oneself friends drink   fasttruly one  mankinds perfect gifts "
"1032","insane good"
"1033","one   best cant wait    year old  "
"1034","  really struggling  think   scotch malt whisky  balances  sherried elements   smoky  pleasingly    admittedly  yrs   old  japanese standards  even  year old islays  ive tasted  either  heavy  phenol bowmore ardbeg laphroig   light  smoke bunnahabhain ive    mildly smokey bunnas   reach  level  complexity  smoothness      old  yrs cadenheads single cask  therefore  expensive ditto  scappas  hps bruichladdich pulled     black arts  though    light   smoke older arrans    good  sherried expressions   rarehats   nikka therefore   perfectly balanced imo rich mildly smokey slightly floral honeyish chocolatey malt shame   darned expensive   europe  ill surely  stocking    one"
"1035","omg  cant believe  delicious  whisky   slight kick   end   surprise   expected    smoother      went  well   little kick   end  made  seem exotic  need  stock   "
"1036"," bottle   face  mouth full  acetone adding  water helped     fact     long   wood really shone   wisps  smoke  nice though   best    consistency issue   whisky"
"1037"," favorite japanese whisky toffee chocolate flavor long smooth finish "
"1038","friend brought  back  japan   simply one   best   ever "
"1039","omg  little ouch  kick     expect    good way like  active senior person ohhh  light woody aroma  dark fruits toffee coffee  peat absolutely bloody delicious  japanese sure know   make delicious whisky  bad  damn price  japanese whisky  gone   much "
"1040","fantastic"
"1041"," nice aroma  hint  oak wood fantastic"
"1042","got  bottle  narita airport last year  aprox  yen    complete bargain   one everything   whisky   characteristic  nikka  general hints  coffee toffee oak   subtle pettiness would   quick summary  whisky   mix  whiskies   two distilleries miyagikyo  yoichi   understand    tried  single malts separately miyagikyo    elegant  smooth one  yoichi  powerful   bit peaty  price defined   website   bit high   opinion      japan   usually get     yen    great price   whisky like "
"1043","picked   bottle  passing  narita  couple  weeks ago en route   states  se asia  mindblowing  yen     taketsuru   didnt even hesitate  plan   pack  one carefully   checked bag  buy another bottle   return trip  week   half later   would  staying  tokyo    days sadly   long since sold  throughout  airport   time   help   gracious locals   able  track   small shop    gotten  fresh shipment   previous day  though  didnt carry          great taketsuru   stock    yen   naturally  snagged one  thoseas    well  won wwas worlds best blended malt award     good sign   course whisky tasting  always going   subjective  personally like  one quite  lot fragrant spicy warm complex  bit sharp   finish  thats easily moderated  toning   alcohol   splash  water even though    pretty standard  abv  alcohol seems  stand  particularly towards  end  certainly dont think  overwhelms  dram   slightly  pronounced   might  expected  one doesnt   subtle sweetness   sherry influence  picked       quite  different expression   sure   aged    casks   guess       nice bottle   though   like  blend quite  lot  dont think id  keen  pay     however      easy choice    great whisky though   comes  blended japanese  id   give  hibiki   nod   one though    feel fortunate      collection"
"1044","tonights whisky    year old nikka taketsuru  nose  found behind  alcohol sitting   nice winter pine    taste gently wrapped  tongue  soft mint like notes  turning mildly peaty   sides   tongue  ending allowed  soft entry  make way   sharper finish  lingering peat like  fishermans late october morning  enjoyable japanese whisky   ive     complexity  whereas  yamazaki   coffy  even  hokushu   ultra clean  distinct   even balance  lacking  rolling mysteries  flavor  personally like   stage   drinking experience  maybe  favorite japanese whisky  date"
"1045","sampled   part   tasting set  palate  smooth     lot  alcohol   nose  extra bite going   finish   anticipating depth  found     onenote   opinion glad  sampled        liking  especially given  price   fond memories  japan  involve smoky bars  similar whisky poured  perfectly carved spheres  ice  sometimes   atmosphere  adds   enjoyment   experience others could disagree   statements    varied reviews id recommend trying  sample first"
"1046","smooth  complex one   go  whiskeys"
"1047","ive   bottle   taketsuru  yr old    blown away   quality   priceso    excited  buy   sadly    wasnt   snuff way  much alcohol  show first    hit really youthe overall taste    little smoke   much else   expecting much "
"1048","lovely absolutely lovely anyone  doesnt enjoy  taketsuru     head examined"
"1049","overpriced    paris cdg aiport duty free funny  duty free costs   royal mile    reasonable  qualify  overpriced statement one  buy yo springbank  around       good indeed    yo  could  detect even  slightest hint  smoke absolutely zero    slight prickle  peat   tongue   predominantly  sweet minty bourbon oak malteser chocolates exremely smooth almost cloying   single glass    enough  quite frankly im bemused   ratings    never buy another "
"1050","similar    year old yamazaki sherry cask   smoothperhaps closer   glengoyne  year oldstill  bit  bite   alcohol   spicy  warm  tastythe year old   lot smoother  tastes  better  addition    smooth im  bit torn since   like  little alcohol bite  entirely smooth   type  whiskyjoakim"
"1051"," came back  three    wrapped hopefully   suitcase    first  bought    free day  tokyo  huge department store   wound  way     bottles  sold  tasted  local saitama whiskey quite good  went   small ml bottle   whiskey   won best blended   world nikka  year oldwow     affection   ml bottle   allows  wonderful smelling  maybe  similar action   whiskey glass   seen     mail       know    pure malt   sweet deep nose   smelling  right one  smell  deep    cherry sweet  day long  yes    great whiskey   mouth   nose defines    need  let  touch  lipsthis  high end get     tell everyone  know  duty free exiting japan     yen domestically  sells  approx    whereas  hibiki    duty free  domesticallyno doubt  hibiki  incredible   nikka  feel even  excited  japanese whiskey   yoichi  ml also   opened  california  marvelous   drinkable   year yoichi must  unrealbut  nikka  might define  turning point   life   wanted something great  day   found   thats always  good thingof course unlike  usa   legal  drink anywhere  japan    took  goofy sample cup  relaxed  mozied around    hours   beautiful packed area taking   local feel  pouring small amounts smelling  wonderful port like sweetness  savoring  way   great whiskey makes  mouth feel  taste"
"1052","  niigata last new years  hotel bar   bottle  yen  shotoutstanding whisky   forced   two    sure"
"1053","  lucky enough  purchase  bottle   visit  tokyo    last bottle left    opened    color  exquisite   licking  glass   already tell     grand pour   death bed"
"1054","   excellent summer whisky smooth  slightly sweet   hint  peat soft enjoyable finish makes  hard  stick  two finger pours "
"1055","well worth  money incredible taste"
"1056"," absolute must   whisky lover however   price  could  nine normal size bottles"
"1057"," real gem lovely light smokey yoichi peated malt  toffee  caramel vanilla  white label   favourite    white  red  black versions "
"1058","nice smoky  burnt flavors without  medicinal iodine thingylovely sweet oak sap barrel char  big juicy apricots"
"1059","fruity  first   lingering smokey finish "
"1060"," bought  whisky   warsaw duty free shop  went   cashier   exclaimed wow  thought ive made  good choice  opened   days later cause   anxious  taste   compare   connemara   like  muchi found  proportionally smoky quite complex  bit fruity    smooth aromai like   lot  use  taste  whiskies  small glasses  take  sips   good stuff  try iti havent found someone  go crazy   whisky  maybe  willi havent tasted   versions  nikka   maybe  worth    compare"
"1061","candy like   front  melts   burning gums"
"1062","fiery hot  strong peat taste clears  nose  heats  throat  good  strong  look forward  trying  black label  others   area"
"1063","  gem medium peat  smoke  salty   smooth full mouthful long briny finish absolutely delicious   like bruichladdich  talisker    something   appreciate"
"1064"," blend  plenty  offer   indeed quite peaty  mentioned  quite  kick   face youd get  laphroaig  certainly enough  get  nose     facets   plenty  sweetness   decent finish  may    worlds greatest   proves   shouldnt overlook something     single malt"
"1065","  given  taster set    christmas   white  stunning tarmaccy like  laphroaig wonderful"
"1066"," powerful yet  smooth notes  caramel coffee peat vanilla chocolate"
"1067","   huge fan   little brother taketsuru  yrs   appeared   local specialist liquor store    voted best blended malt   world       try itwow   slips  frighteningly easily   everything   year old  perfect balance   light smokiness  sweet sherry notes complexity  delicious soft spices  adds another dimension  terms  richness smoothness  extra malty chocolate vanilla  coffee flavour  finish  probably  best   whiskey ive ever tried        cabinet    years old unbelievably smooth  waves  complexity unfolding  layers  nutmeg  clove malt smoke maybe  little eucalyptus andor mint  liquoricejust wow  glad  bought two"
"1068","   best whisky ive   date  incredibly complex  well balanced    real treatim  sure    casked      whiff  sherry    compliment    nutty caramel sweetness  mellows   warming  spice   makes  smile   great    exactly   whisky    disagree  peaty  mentioned   theres none   "
"1069"," whisky  keeps giving   extremely complex good luck getting  hands   "
"1070","   friend attended  yoichi distillery   tasting several including     yr old  disappointed  learn   aged whisky  unavailable happily    obtained  bottles   excellent  yr old hintits  top blend   still  found   reasonable prices     way japanese bottle shopswell worth searching      japan "
"1071","whilst     restructuring   nikka whisky lines thankfully  taketsuru   discontinued    yoichi  miyakikyo age statement whiskies    discontinued  retail price   taketsuru  japan  recently go  however    retails  department stores  approx jpy  gbp      half  "
"1072","  bought  bottle      stopped producing    afraid   never get  taste       find  bottle   cost    euros"
"1073","bought  bottle  narita airport  coming home   long stay  korea  sagamihara japan opened  bottle   brisk fall evening  camping  late october     year old white lab   nice camp fire  fine cigar    year old bottle  scotch really     get better   "
"1074","according  nonjatta nikkas whisky lineup    composed  nas bottlingsthis means      year old   history"
"1075","  saw   narita airport  usd  thought  mislabelled      bottles  whiskey  home leaning towards  peaty  bottle   prized possession  despite  price  save     special  occasionsagree    guy   bottles  whiskey coats  tongue beautifully  releases mild peat lovely caramel flavours   citrussy twist   end  bring  smile   face"
"1076","  fortunate enough  pick    yo   yo   trip  tokyo even    easy  come    whatever reason  prices  astoundingly low  though limited   purchase  one bottle  thats fine  yo   yen   yo   yen  meanwhile  yamazaki hibiki  hakushu   fairly expensive  presumably  account   greater name recognition  example  yamazaki    staggering  yen    sold  even     yen   hibiki     much like   yen   taketsuru       nobrainer   able  get  sample   sealed  deal  really    wasnt much chance  wasnt going  buy  bottle  shop   gotten  stocks  previous day   told   sold    four months like  say timing  everythingand     taketsuru   amazing value  really   fantastic blend    smooth pleasant viscosity  sipped neat  adding  bit  water really develops   nose   flavour theres  sherry influence  quite like im  big fan  glenfarclas  im keen  sherry casks  whisky  general  though  hard  pinpoint      palate   taketsuru   something distinctly asian   whisky    lovely lovely whisky warm  spicy    hint  sweetness  super smooth wellbalanced  pure pleasure  drink truly one   favourites    close   bottles  different japanese whiskies  home"
"1077","   favorite japanese whisky nothing bad   save  mom    stock"
"1078","  introduced   yr old  visiting yokahoma    surprise found      excellent  body  taste   rival     high end brands"
"1079","im living  japan   moment   lucky enough  go   distillerymuseum  picked   bottle   fantastic drinkgreat tour   distillery  well free entry  free taster    year  year  apple winesipping   glass   right "
"1080"," truly   level japan   nowthe nose says japan   glassi could harp   day  thisnot got  problem   pricejust  wonderful dramsteve mcgiff stives cornwall"
"1081","  truly  amazing taste  much    won best whisky review   month  href relnofollowbest whiskey   month   april    site    opinion  one   best   worldtry       disappointed"
"1082"," ordered  bottle     dram   yo    expecting      got except  peat    pleasent     yo   go       blowing  feet  yo  exceptional  yo  outstanding    smooth fruity  oak   hint  peat  one   best bottle   ever "
"1083","hey    id love    whisky"
"1084"," without  adieu  ratingnow back   bed"
"1085"," raining  theres soft sounds  droplets tapping   windows throughout  home    light coming   ligthening strikes  seem  get closer    source  light entering  home   outside inside   single candle  lit  walk   old  well worn leather arm chair   small creek  made   oak end table door    opened  pull  bottle   singular glass  stood near   sit  lay  glass atop  end table  pour    companion   late evening early morning  shes introduced   nights light show  airs  sweet aroma  passion  make  wait   bite  finely rolled cuban  set  afire  couple  puffs    waits    glass touches lip  tongue   fine companion meets  mentor  say   goes     long  subtle burn  sweetness  met  anticipation  another sip   rolls around  tongue like  mistress  knows shes    one thing  one thing  smokey  earthy  seems  companion   perfect match  tonights engagement four pours later  cuban  gone  nights storm passes   cork  pressed back   home  sit  watch  clouds outside roll   leave   nights wind  candle  put  rest  moistened fingers   mind rolls  body   bed  fine end   good night  good night indeed"
"1086"," lovely hint  samurai sword thru  gizzard    quarter   bottle     squinting like  little bastards  made  im quite fond   liquid lacquer itll get   point   pointwell  youll want  knock   old lady  lets  get  technical    good fun   good bottle   somewhat  priced     see  samurai samich makerim hungry"
"1087","    one  keep  special occasions im   connoisseur   stretch  even serving   unsuspecting guests   single piece  ice  always brings  wide smile  actually recognise    something quite special    smooth coats  tongue beautifully   releases   gradual warmth  tastes slightly peaty   nice balance  citrussy  caramelly flavours  cant go  specific    hopefully youve already made   mind  "
"1088","    one  keep  special occasions im   connoisseur   stretch  even serving   unsuspecting guests   single piece  ice  always brings  wide smile  actually recognise    something quite specialto   smooth coats  tongue beautifully   releases   gradual warmth  tastes slightly peaty   nice balance  citrussy  caramelly flavours  cant go  specific    hopefully youve already made   mind   "
