"","text"
"152"," purchased    recommendation   wife   staff   wine shop    cracked open xmas eve  think  looking fwd"
"153"," bought  bottle  long time ago   party freshly opened  found   taste  odd    strong sweetness  taste  caramel    equally strong bitter tannin taste   yielded  sort  flat taste curve  sorts  didnt linger    left    dry tannin tastenow however      shelf    months     content left   tried   last night   must say    positively surprised   developed   nice round sweet taste   sort  vanilla mixed   fruity jelly candy tastes   nose felt  developed  first   much orange peel citrus smell     jelly candy smell came    whiledefinitely one   favorites "
"154","solid drop"
"155","nice change flora   nose    exotic tones tastes rather good warmth  flora notes  honey sweetness  citrusmaybe nicer   money  nice stuff  worth  trypersonally prefer  redbreast   green spot  glenfarclaas  dalmorre  great thing whiskey something  everyone"
"156"," whiskey cupboard   without  green spot  dalmoreif  havent tried     cowboy"
"157","   really really good dropgreat nose good flavours citrus like    smooth jw blue eek finishvery good   years old better   double  age   price  definite one  try   book"
"158","tried  recently  restaurant  sf  love  smooth refreshing taste hints  honey  vanilla nice  try something different apart  traditional single malts"
"159","dats  nice drink"
"160","   first whisky  opened  eyes   wonderful world  single malts       obscure world  blends   occasional glenlivet  glenfiddich  ive never looked back ever since ive   likes  many single malts throughout  years   yamazaki   still   top  favorites    year range  "
"161","real good nick flavor  notes looking forward     next thanks "
"162","smooth  ok yamazaki   much better      best ive ever  would  buy  bottle   "
"163","   nice whisky  around single malt  testy  good bit  sweetness   find   kualulampordaikanyama"
"164"," purchase one   tge fun     japanese    honesty   one   whisky thats hard   recomend  likes  fine drink  mean   fine whisky   call  biased   yamazaki  one   best whisky  ever tasted"
"165","hi    moment   unfortunately unable  ship  argentina due  uk aviation regulations however   working hard  find  solution   check  delivery page  chaps  master  malt"
"166","hi made shipments  argentina regards thanks"
"167","  given  bottle     birthday last week   must say   probably amongst  best malts   ever   pleasure  enjoyget   parochial prejudice  give   try     wont  disappointed"
"168","smooth   word  adding water    must  bring   smells  taste  recommend      tad    mostthe  objection      whisky intended   broad audience    experience   bit well average    taste    somewhat  smokey    tad  oomph    bit   sweet side   view    cannot go wrong serving yamazaki   guests   finer dinner though"
"169"," picked   bottle     looked different  couldnt   happier      say   experience adding  drop  water really adds     settles    allows  smells  taste  develop  try   let  know"
"170","smooth dram   interesting experience  japanarigato gozaimashita"
"171","   lot  expectations   whisky  gf got   bottle  christmasit turned    mostly disappointed  nose  really greatand    interesting notes   found  palate  unrefined   poor balance  rough aftertaste     appreciate     taste smooth   imo anyway ill try  give another shot  yamazaki    yo"
"172","lovely smooth  yr old excellent finish    gone mad dentist like numbness  follow "
"173"," found   taste rather unrefined   disappointingif  love  good single malt  certainly isnt onego  aberfeldy     cheaper  better   one"
"174"," french  italians didnt invent wine  became  famous    suspect    happening  japanese whiskythe yamazaki yo   smooth  robust  spicy dried fruit  creme brulee   palatenikka whiskys yoichi  hibiki yo   nice    find "
"175"," french  italians didnt invent wine  became  famous    suspect    happening  japanese whiskythe yamazaki yo   smooth  robust  spicy dried fruit  creme brulee   palatenikka whiskys yoichi  hibiki yo   nice    find "
"176"," japanese whisky   smooth   hint  golden sweetnessvery nice "
"177","  wonderfull whisky great   nose  pallett  moorish cant rate  fine drop enough  put  hand   pocket  get   wont  disapointed"
"178","tried  whisky   wedding  attended without ever hearing     must   love    purchasing  bottle  pay day worth   shot  im paying currently"
"179","cant go wrong   one    trying   japanese brands soon"
"180","tried   chisou japanese restaurant  london      whiskey  stock   good reason   incredibly smooth  delicious  "
"181"," forgot  add  pretty little stars     lovely "
"182"," tastes much differnt   ice   spar   ice   mums house       lovely rich flavour "
"183","phenomenal   great whiskey   price   like   much   yamazaki     quite  bit cheaper  buy  bottle    know   japanese whiskeys    well  international awards     dont sound biased towards japanese whiskeys   drinking  dram  highland park  right   enjoying  thoroughly"
"184","good  great"
"185","  one   finest whiskys ive tasted  generally keep several bottles     hand  reserve    special occasions  mouthfeel   rich  oily  nose  hints  char oak fruit caramel vanilla   spicy character one  likely attribute   mizunara oak casks used  maturation  palate continues   fashion   nuttymalty character also emerges  finish  sweet   notable fruity sherry influence  malt nuts  hit  spicy oak    rich whisky   rightly  described  luxurious ive tried  number  single malts including many similarly aged scotch single malts   ranks   best   caveat would   inflated price tag  unfortunately seems  impact  agestatement japanese whisky  days  said   cracking good dram  well worth trying   run     whiskey menu   upscale bar"
"186","lucked   got   master  malt   hard  find one   best japanese whiskys   get  hands   youre lucky"
"187","big step     one   favorites"
"188","unimpressive hot   nose  certainly  worth  price  admission   enjoyed  number  single malts  far  depth  character   fraction   cost moving "
"189"," little bit better   basic flavors     round deep  little bit smoother u  feel      like  bitterness   end  still   mouth   minutes  may like small bitterness like  ipa beer   choose btw      definitely  piece  art "
"190","excellent "
"191","ive got  say     nice"
"192"," nice"
"193","compare  jack idk man  like comparing  tap water  fijiavian water  like ouffff u  try"
"194"," smooth taste"
"195"," nice"
"196","without  doubt  pinnacle  japanese whisky   merest hint  sulphur present   nose  taste  takes  back   finest  scotch  tasted      second    macallan  year old sherry oak  whisky heaven"
"197"," remember   bottle cost    years ago   mass started enjoying      expensive aint worth  "
"198","ive  yamazaki   years   wife    wrapped   week vacation  japan     lucky enough  stop    suntory yamazaki distillery  let  sample hibiki  hakushu   yamazaki     budget  could  purchase one    going   hibiki   far  best whiskey   ever tasted unfortunately   sold   hate  say   yamazaki  came  second    good second   amazing flavors   extremely smooth   ml bottle cost   yen  around  us since  wont  going back  japan  time soon    come   special occasions"
"199","shengus man shengus pure shanner   dram"
"200","lucky enough   bought  couple  bottles  priced around   bring    special occasions best comparison   come across  far   aultmore  yr    still  cheap    bottle"
"201","ive  running   since  first sip three years ago  price  gone  around        find  ive   every  available  many   yamazaki  best  far  even close dangerous dram indeed  yamazaki     expensive  try"
